     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,12/11/2010-12/17/2010,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,                                                                                                   
R001,WHITEHALL STREET              ,00056841,00001754,00000215,00000818,00000437,00016003,00033429,00000081,00004551,00002348,00000627,00001060,00000000,00001192,00005764,00000542,00000154,00000000,00000356,00000000,00000000,00000000,                                                                                                                                        
R002,FULTON ST & BROADWAY NASSAU   ,00017530,00000472,00000035,00000153,00000039,00003610,00010934,00000015,00000277,00000939,00000077,00000342,00000000,00000115,00003680,00000106,00000043,00000000,00000078,00000000,00000000,00000000,                                                                                                                                        
R003,CYPRESS HILLS                 ,00003517,00000090,00000011,00000037,00000001,00001725,00001375,00000005,00000029,00000226,00000003,00000014,00000000,00000020,00000196,00000011,00000005,00000000,00000011,00000000,00000000,00000000,                                                                                                                                        
R004,75TH STREET & ELDERTS LANE    ,00008592,00000244,00000014,00000154,00000000,00003160,00004408,00000001,00000070,00000313,00000005,00000049,00000000,00000005,00000581,00000023,00000003,00000000,00000028,00000000,00000000,00000000,                                                                                                                                        
R005,85TH STREET & FOREST PKWAY    ,00009425,00000382,00000029,00000137,00000001,00003096,00005588,00000005,00000047,00000438,00000011,00000047,00000000,00000005,00000395,00000020,00000034,00000000,00000055,00000000,00000000,00000000,                                                                                                                                        
R006,WOODHAVEN BOULEVARD           ,00009056,00000353,00000052,00000130,00000001,00004596,00005661,00000002,00000104,00000614,00000008,00000083,00000000,00000010,00000634,00000028,00000020,00000000,00000021,00000000,00000000,00000000,                                                                                                                                        
R007,104TH STREET                  ,00006649,00000216,00000035,00000053,00000001,00002449,00003466,00000007,00000041,00000262,00000000,00000052,00000000,00000000,00000323,00000005,00000009,00000000,00000017,00000000,00000000,00000000,                                                                                                                                        
R008,111TH STREET                  ,00006176,00000196,00000026,00000048,00000004,00002222,00002741,00000007,00000040,00000227,00000000,00000057,00000000,00000008,00000289,00000014,00000007,00000000,00000022,00000000,00000000,00000000,                                                                                                                                        
R009,121ST STREET                  ,00004917,00000148,00000008,00000092,00000005,00002248,00002572,00000009,00000050,00000318,00000001,00000014,00000000,00000001,00000238,00000025,00000010,00000000,00000016,00000000,00000000,00000000,                                                                                                                                        
R010,42ND STREET & 8TH AVENUE      ,00072996,00003040,00000307,00000995,00000203,00023830,00049869,00000058,00002851,00004216,00000213,00000603,00000000,00000287,00003205,00000513,00000306,00000000,00000749,00000000,00000000,00000000,                                                                                                                                        
R011,42ND STREET & 8TH AVENUE      ,00241636,00007848,00000436,00001631,00000120,00028444,00079106,00000131,00004231,00004716,00000252,00002835,00000000,00000204,00006097,00002103,00000423,00000000,00000950,00000000,00000000,00000000,                                                                                                                                        
R012,34TH STREET & 8TH AVENUE      ,00219436,00007204,00000489,00001597,00005478,00031276,00079980,00000123,00004474,00005858,00000742,00002336,00000001,00010856,00007673,00002113,00000551,00000000,00001248,00000000,00000000,00000000,                                                                                                                                        
R013,34TH STREET & 8TH AVENUE      ,00050458,00001879,00000156,00000653,00001369,00010830,00033439,00000043,00001080,00002255,00000265,00000596,00000000,00003770,00003775,00000495,00000192,00000000,00000369,00000000,00000000,00000000,                                                                                                                                        
R014,FULTON STREET                 ,00089292,00002731,00000153,00000653,00001012,00019002,00057515,00000058,00002657,00003847,00000456,00001392,00000000,00002801,00008618,00001027,00000432,00000000,00000541,00000000,00000000,00000000,                                                                                                                                        
R015,FIFTH AVENUE                  ,00080039,00002665,00000080,00000460,00001440,00010069,00033645,00000017,00001648,00001952,00000347,00002167,00000000,00002941,00002928,00000983,00000228,00000000,00000533,00000000,00000000,00000000,                                                                                                                                        
