     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,12/17/2016-12/23/2016,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,                                                                                    
R001,WHITEHALL STREET              ,00057851,00002194,00000295,00000875,00000181,00028136,00027557,00000000,00000000,00000000,00000000,00000856,00000579,00000451,00004415,00001352,00000477,00000000,00001094,00000000,00000000,00000000,00003034,00000000,                                                                                                                      
R003,CYPRESS HILLS                 ,00003110,00000191,00000031,00000043,00000005,00002604,00001315,00000000,00000000,00000000,00000000,00000021,00000058,00000005,00000117,00000010,00000010,00000000,00000021,00000000,00000000,00000000,00000810,00000000,                                                                                                                      
R004,75TH STREET & ELDERTS LANE    ,00007812,00000411,00000038,00000124,00000004,00005640,00003990,00000000,00000000,00000000,00000000,00000074,00000206,00000002,00000302,00000038,00000048,00000000,00000053,00000000,00000000,00000000,00003463,00000000,                                                                                                                      
R005,85TH STREET & FOREST PKWAY    ,00008857,00000627,00000038,00000183,00000003,00005943,00004873,00000000,00000000,00000000,00000000,00000078,00000242,00000002,00000326,00000066,00000068,00000000,00000075,00000000,00000000,00000000,00001723,00000000,                                                                                                                      
R006,WOODHAVEN BOULEVARD           ,00008476,00000576,00000074,00000177,00000006,00008191,00005508,00000000,00000000,00000000,00000000,00000108,00000157,00000007,00000392,00000055,00000069,00000000,00000087,00000000,00000000,00000000,00001755,00000000,                                                                                                                      
R007,104TH STREET                  ,00006261,00000356,00000022,00000079,00000005,00004391,00003055,00000000,00000000,00000000,00000000,00000040,00000122,00000000,00000180,00000051,00000041,00000000,00000070,00000000,00000000,00000000,00001489,00000000,                                                                                                                      
R008,111TH STREET                  ,00005469,00000272,00000056,00000071,00000007,00003804,00002436,00000000,00000000,00000000,00000000,00000054,00000096,00000002,00000185,00000042,00000032,00000000,00000042,00000000,00000000,00000000,00001839,00000000,                                                                                                                      
R009,121ST STREET                  ,00004984,00000297,00000040,00000055,00000006,00004132,00002545,00000000,00000000,00000000,00000000,00000046,00000134,00000001,00000164,00000057,00000049,00000000,00000061,00000000,00000000,00000000,00000812,00000000,                                                                                                                      
R010,42ND STREET & 8TH AVENUE      ,00097346,00004740,00000404,00001234,00000146,00051055,00045910,00000000,00000000,00000000,00000000,00001003,00001188,00000144,00005226,00001911,00001074,00000000,00002397,00000000,00000000,00000000,00006767,00000000,                                                                                                                      
R011,42ND STREET & 8TH AVENUE      ,00235684,00010529,00000665,00001579,00000171,00047216,00062923,00000000,00000000,00000000,00000000,00002747,00004049,00000091,00006105,00005499,00001473,00000000,00002723,00000000,00000000,00000000,00002190,00000000,                                                                                                                      
R012,34TH STREET & 8TH AVENUE      ,00213581,00008925,00000572,00001653,00003825,00047360,00061165,00000000,00000000,00000000,00000000,00002320,00003022,00004695,00006320,00006908,00001515,00000000,00003303,00000000,00000000,00000000,00002964,00000000,                                                                                                                      
R013,34TH STREET & 8TH AVENUE      ,00045378,00002205,00000178,00000623,00000815,00017254,00023974,00000000,00000000,00000000,00000000,00000836,00000378,00001384,00002585,00001488,00000578,00000000,00000825,00000000,00000000,00000000,00000724,00000000,                                                                                                                      
R014,FULTON STREET                 ,00203290,00005475,00000496,00001144,00000947,00066290,00078929,00000000,00000000,00000000,00000000,00002533,00001161,00001489,00010872,00004386,00002091,00000000,00003646,00000000,00000000,00000000,00005716,00000000,                                                                                                                      
R015,FIFTH AVENUE                  ,00084469,00003578,00000145,00000548,00000919,00020597,00030371,00000000,00000000,00000000,00000000,00002161,00000708,00001124,00004913,00003310,00000733,00000000,00001569,00000000,00000001,00000000,00000664,00000000,                                                                                                                      
R016,LEXINGTON AVENUE              ,00017322,00000947,00000077,00000180,00000089,00005764,00009693,00000000,00000000,00000000,00000000,00000401,00000101,00000101,00001255,00000669,00000243,00000000,00000227,00000000,00000000,00000000,00000289,00000000,                                                                                                                      
R017,LEXINGTON AVENUE              ,00101369,00005922,00000298,00001029,00000759,00028776,00049314,00000000,00000000,00000000,00000000,00002052,00000815,00001109,00006309,00004013,00001348,00000000,00001697,00000000,00000000,00000000,00004120,00000000,                                                                                                                      
R018,ROOSEVELT AVE/JACKSON HTS     ,00092563,00007305,00001213,00003270,00000037,00075783,00097715,00000000,00000000,00000000,00000000,00000690,00002005,00000061,00006479,00000939,00001243,00000000,00001113,00000000,00000000,00000000,00008665,00000000,                                                                                                                      
