     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,06/03/2017-06/09/2017,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R001,WHITEHALL STREET              ,00075917,00003081,00000486,00001143,00000309,00037264,00040623,00000000,00000000,00000000,00000368,00001134,00001140,00000444,00006157,00002158,00000805,00000000,00001858,00000000,00000000,00000000,00003080,00000000,00000035,00000000,                                                                                                    
R003,CYPRESS HILLS                 ,00002670,00000149,00000015,00000023,00000000,00002057,00001129,00000000,00000000,00000000,00000000,00000014,00000071,00000003,00000113,00000020,00000015,00000000,00000026,00000000,00000000,00000000,00000786,00000000,00000020,00000000,                                                                                                    
R004,75TH STREET & ELDERTS LANE    ,00006468,00000387,00000035,00000101,00000000,00004189,00003279,00000000,00000000,00000000,00000000,00000054,00000201,00000002,00000273,00000049,00000050,00000000,00000046,00000000,00000000,00000000,00003017,00000000,00000019,00000000,                                                                                                    
R005,85TH STREET & FOREST PKWAY    ,00007394,00000523,00000045,00000134,00000000,00004648,00004122,00000000,00000000,00000000,00000006,00000067,00000258,00000000,00000272,00000063,00000062,00000000,00000052,00000000,00000000,00000000,00001703,00000000,00000013,00000000,                                                                                                    
R006,WOODHAVEN BOULEVARD           ,00008156,00000588,00000058,00000187,00000005,00007239,00005131,00000000,00000000,00000000,00000008,00000106,00000169,00000008,00000367,00000083,00000072,00000000,00000071,00000000,00000000,00000000,00001836,00000000,00000028,00000000,                                                                                                    
R007,104TH STREET                  ,00003249,00000188,00000014,00000038,00000005,00001789,00001325,00000000,00000000,00000000,00000000,00000018,00000074,00000000,00000084,00000026,00000022,00000000,00000038,00000000,00000000,00000000,00000789,00000000,00000022,00000000,                                                                                                    
R008,111TH STREET                  ,00006356,00000365,00000062,00000079,00000005,00004169,00002844,00000000,00000000,00000000,00000005,00000061,00000152,00000000,00000211,00000080,00000033,00000000,00000040,00000000,00000000,00000000,00001749,00000000,00000008,00000000,                                                                                                    
R009,121ST STREET                  ,00001592,00000089,00000011,00000024,00000006,00001095,00000714,00000000,00000000,00000000,00000000,00000021,00000066,00000002,00000044,00000024,00000005,00000000,00000010,00000000,00000000,00000000,00000235,00000000,00000003,00000000,                                                                                                    
R010,42ND STREET & 8TH AVENUE      ,00086681,00004921,00000493,00001255,00000158,00050055,00050033,00000000,00000000,00000000,00000278,00000960,00001376,00000152,00005568,00001994,00001272,00000000,00002502,00000000,00000000,00000000,00006155,00000000,00000052,00000000,                                                                                                    
R011,42ND STREET & 8TH AVENUE      ,00243571,00011298,00000616,00001626,00000180,00048383,00070208,00000000,00000000,00000000,00000189,00002947,00005224,00000068,00006623,00006677,00001804,00000000,00002987,00000000,00000000,00000000,00002419,00000000,00000072,00000000,                                                                                                    
R012,34TH STREET & 8TH AVENUE      ,00197324,00008825,00000683,00001607,00004529,00043789,00065913,00000000,00000001,00000000,00000785,00002419,00002961,00004744,00006771,00007223,00001756,00000000,00003409,00000000,00000000,00000000,00003198,00000000,00000084,00000000,                                                                                                    
R013,34TH STREET & 8TH AVENUE      ,00047756,00002332,00000215,00000720,00000939,00018311,00028221,00000000,00000000,00000000,00000304,00000806,00000455,00001401,00003248,00001861,00000719,00000000,00001067,00000000,00000000,00000000,00000774,00000000,00000014,00000000,                                                                                                    
R014,FULTON STREET                 ,00165602,00005316,00000393,00001092,00001266,00054751,00083577,00000000,00000000,00000000,00000532,00002803,00001197,00001679,00012092,00004596,00002257,00000000,00002870,00000000,00000000,00000000,00005738,00000000,00000052,00000000,                                                                                                    
R015,FIFTH AVENUE                  ,00073454,00003291,00000148,00000446,00001182,00017181,00030973,00000000,00000000,00000000,00000266,00002165,00000475,00001192,00004997,00003825,00000861,00000000,00001407,00000000,00000000,00000000,00000551,00000000,00000034,00000000,                                                                                                    
R016,LEXINGTON AVENUE              ,00018405,00000978,00000048,00000154,00000131,00005749,00011242,00000000,00000000,00000000,00000059,00000460,00000111,00000128,00001566,00000793,00000249,00000000,00000293,00000000,00000000,00000000,00000300,00000000,00000005,00000000,                                                                                                    
R017,LEXINGTON AVENUE              ,00098888,00005913,00000287,00000935,00001041,00027043,00054574,00000000,00000000,00000000,00000215,00002087,00000909,00001104,00006921,00004143,00001531,00000000,00001651,00000000,00000000,00000000,00003706,00000000,00000043,00000000,                                                                                                    
R018,ROOSEVELT AVE/JACKSON HTS     ,00094303,00008315,00001260,00003525,00000035,00076638,00103240,00000000,00000000,00000000,00000096,00000717,00002415,00000068,00007413,00001116,00001495,00000000,00001230,00000000,00000000,00000000,00008683,00000000,00000349,00000000,                                                                                                    
R019,179TH STREET & HILLSIDE AVE   ,00032321,00002286,00000463,00001156,00000028,00022273,00027171,00000000,00000000,00000000,00000052,00000673,00001143,00000015,00003134,00000541,00000292,00000000,00000256,00000000,00000000,00000000,00003713,00000000,00000181,00000000,                                                                                                    
