     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,12/28/2019-01/03/2020,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,FF VALUE,FF 7-DAY,FF 30-DAY,                                                                     
R001,WHITEHALL STREET              ,00065407,00002538,00000408,00000979,00000066,00042118,00021404,00000249,00000491,00000798,00000211,00003472,00001388,00000461,00000000,00002075,00000000,00000000,00000000,00001855,00000000,00000055,00000000,00000296,00000271,00000258,                                                                                                    
R003,CYPRESS HILLS                 ,00002797,00000159,00000012,00000033,00000000,00001953,00000862,00000003,00000008,00000088,00000004,00000055,00000010,00000013,00000000,00000018,00000000,00000000,00000000,00000384,00000000,00000013,00000000,00000054,00000054,00000032,                                                                                                    
R004,75TH STREET & ELDERTS LANE    ,00006574,00000434,00000041,00000138,00000001,00003859,00002798,00000001,00000021,00000241,00000002,00000214,00000057,00000062,00000000,00000079,00000000,00000000,00000000,00001568,00000000,00000033,00000000,00000120,00000107,00000066,                                                                                                    
R005,85TH STREET & FOREST PKWAY    ,00007611,00000587,00000083,00000209,00000000,00004153,00003322,00000002,00000029,00000225,00000000,00000160,00000046,00000052,00000000,00000060,00000000,00000000,00000000,00001002,00000000,00000032,00000000,00000153,00000067,00000094,                                                                                                    
R006,WOODHAVEN BOULEVARD           ,00007320,00000527,00000061,00000184,00000001,00005980,00003899,00000012,00000048,00000212,00000003,00000226,00000100,00000045,00000000,00000104,00000000,00000000,00000000,00001390,00000000,00000051,00000000,00000117,00000128,00000077,                                                                                                    
R007,104TH STREET                  ,00004791,00000260,00000027,00000066,00000001,00003243,00001922,00000002,00000027,00000160,00000004,00000105,00000037,00000026,00000000,00000061,00000000,00000000,00000000,00000735,00000000,00000027,00000000,00000108,00000031,00000054,                                                                                                    
R008,111TH STREET                  ,00004012,00000179,00000038,00000071,00000008,00002356,00001422,00000001,00000016,00000109,00000000,00000078,00000025,00000028,00000000,00000032,00000000,00000000,00000000,00000684,00000000,00000011,00000000,00000054,00000028,00000040,                                                                                                    
R009,121ST STREET                  ,00003784,00000204,00000031,00000093,00000000,00002747,00001664,00000002,00000025,00000084,00000002,00000115,00000036,00000023,00000000,00000058,00000000,00000000,00000000,00000453,00000000,00000009,00000000,00000050,00000027,00000045,                                                                                                    
R010,42ND STREET & 8TH AVENUE      ,00098481,00004368,00000432,00001127,00000097,00062105,00034445,00000290,00000529,00001093,00000082,00003862,00001780,00001081,00000000,00003647,00000001,00000000,00000000,00003819,00000000,00000126,00000000,00000596,00000430,00000492,                                                                                                    
R011,42ND STREET & 8TH AVENUE      ,00203726,00009492,00000624,00001522,00000069,00055763,00045380,00000210,00001521,00004471,00000045,00004965,00004819,00001552,00000000,00004278,00000000,00000000,00000000,00002421,00000000,00000117,00000000,00000695,00000424,00000528,                                                                                                    
R012,34TH STREET & 8TH AVENUE      ,00171376,00006905,00000605,00001205,00001170,00043895,00042195,00000124,00001182,00002448,00002117,00005534,00005411,00001526,00000000,00004162,00000000,00000000,00000000,00002245,00000000,00000109,00000000,00000709,00000442,00000463,                                                                                                    
R013,34TH STREET & 8TH AVENUE      ,00047345,00001805,00000189,00000552,00000220,00024072,00018386,00000144,00000404,00000421,00000594,00002451,00001369,00000576,00000000,00001829,00000000,00000000,00000000,00000695,00000000,00000031,00000000,00000269,00000179,00000290,                                                                                                    
R014,FULTON STREET                 ,00137690,00004037,00000444,00000911,00000251,00063955,00047050,00000305,00001216,00000864,00000614,00007653,00002992,00001633,00000000,00003745,00000000,00000000,00000000,00003649,00000000,00000112,00000000,00000884,00000613,00000467,                                                                                                    
